coluna	tipo	comentario
ano_pesquisa	int	None
modelo	varchar(16)	None
ordem_modelo	int	None
nivel	string	None
ordem_nivel	int	None
n_respondentes	bigint	None
n_com_salario	bigint	None
soma_salario	double	None
salario_medio	double	None
salario_mediano	double	None
media_faixa_ordem	double	None
n_com_genero	bigint	None
n_feminino	bigint	None
pct_feminino	double	None
