"tabela","coluna","tipo_dado","particao"
"agg_ia_maturidade_organizacional","ano_pesquisa","bigint","nao"
"agg_ia_maturidade_organizacional","indicador","varchar(31)","nao"
"agg_ia_maturidade_organizacional","tipo_metrica","varchar(22)","nao"
"agg_ia_maturidade_organizacional","resposta","varchar(44)","nao"
"agg_ia_maturidade_organizacional","quantidade_resposta","bigint","nao"
"agg_ia_maturidade_organizacional","total_respostas_validas_indicador","bigint","nao"
"agg_ia_maturidade_organizacional","total_registros_ano","bigint","nao"
"agg_ia_maturidade_organizacional","pct_entre_respostas_validas","double","nao"
"agg_ia_maturidade_organizacional","pct_cobertura_indicador","double","nao"
