"tabela","coluna","tipo_dado","particao"
"vw_silver_ia_fonte","tec_db_amazon_aurora_ou_rds","boolean","nao"
"vw_silver_ia_fonte","tec_db_amazon_redshift","boolean","nao"
"vw_silver_ia_fonte","tec_db_cassandra","boolean","nao"
"vw_silver_ia_fonte","tec_db_coachdb","boolean","nao"
"vw_silver_ia_fonte","tec_db_databricks","boolean","nao"
"vw_silver_ia_fonte","tec_db_datomic","boolean","nao"
"vw_silver_ia_fonte","tec_db_db2","boolean","nao"
"vw_silver_ia_fonte","tec_db_dynamodb","boolean","nao"
"vw_silver_ia_fonte","tec_db_elasticsearch","boolean","nao"
"vw_silver_ia_fonte","tec_db_firebase","boolean","nao"
"vw_silver_ia_fonte","tec_db_firebird","boolean","nao"
"vw_silver_ia_fonte","tec_db_google_bigquery","boolean","nao"
"vw_silver_ia_fonte","tec_db_google_firestore","boolean","nao"
"vw_silver_ia_fonte","tec_db_hbase","boolean","nao"
"vw_silver_ia_fonte","tec_db_hive","boolean","nao"
"vw_silver_ia_fonte","tec_db_mariadb","boolean","nao"
"vw_silver_ia_fonte","tec_db_microsoft_access","boolean","nao"
"vw_silver_ia_fonte","tec_db_mongodb","boolean","nao"
"vw_silver_ia_fonte","tec_db_mysql","boolean","nao"
"vw_silver_ia_fonte","tec_db_neo4j","boolean","nao"
"vw_silver_ia_fonte","tec_db_oracle","boolean","nao"
"vw_silver_ia_fonte","tec_db_postgresql","boolean","nao"
"vw_silver_ia_fonte","tec_db_presto","boolean","nao"
"vw_silver_ia_fonte","tec_db_redis","boolean","nao"
"vw_silver_ia_fonte","tec_db_s3","boolean","nao"
"vw_silver_ia_fonte","tec_db_sap_hana","boolean","nao"
"vw_silver_ia_fonte","tec_db_snowflake","boolean","nao"
"vw_silver_ia_fonte","tec_db_splunk","boolean","nao"
"vw_silver_ia_fonte","tec_db_sql_server","boolean","nao"
"vw_silver_ia_fonte","tec_db_sqlite","boolean","nao"
"vw_silver_ia_fonte","tec_db_sybase","boolean","nao"
"vw_silver_ia_fonte","tec_db_vertica","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_audios","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_dados_armazenados_em_bancos_nosql","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_dados_georeferenciados","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_dados_relacionais_estruturados_em_bancos_sql","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_imagens","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_planilhas","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_textos_documentos","boolean","nao"
"vw_silver_ia_fonte","tec_fonte_videos","boolean","nao"
"vw_silver_ia_fonte","tec_lang_c_c_c","boolean","nao"
"vw_silver_ia_fonte","tec_lang_dax","boolean","nao"
"vw_silver_ia_fonte","tec_lang_java","boolean","nao"
"vw_silver_ia_fonte","tec_lang_javascript","boolean","nao"
"vw_silver_ia_fonte","tec_lang_julia","boolean","nao"
"vw_silver_ia_fonte","tec_lang_matlab","boolean","nao"
"vw_silver_ia_fonte","tec_lang_nao_utilizo_nenhuma","boolean","nao"
"vw_silver_ia_fonte","tec_lang_net","boolean","nao"
"vw_silver_ia_fonte","tec_lang_php","boolean","nao"
"vw_silver_ia_fonte","tec_lang_python","boolean","nao"
"vw_silver_ia_fonte","tec_lang_r","boolean","nao"
"vw_silver_ia_fonte","tec_lang_rust","boolean","nao"
"vw_silver_ia_fonte","tec_lang_sas_stata","boolean","nao"
"vw_silver_ia_fonte","tec_lang_scala","boolean","nao"
"vw_silver_ia_fonte","tec_lang_sql","boolean","nao"
"vw_silver_ia_fonte","tec_lang_visual_basic_vba","boolean","nao"
